1,Elder Hamlet invades Norway,Elder Hamlet ,invades  Norway,1,801,901,PA,Elder_Hamlet,Elder_Norway,0,0,-30,0,0.5
2,While Elder Hamlet is away Claudius beds Gertrude,Claudius sleeps ,with Gertrude,20,100,600,PA,Claudius,Gertrude,0,0,-30,0,0.5
3,Claudius kills Elder Hamlet,Claudius poisons , Elder Hamlet,25,400,850,PA,Claudius,Elder_Hamlet,0,0,-30,0,0.5
4,Claudius marries Gertrude   makes himself king,Claudius marrys ,Gertrude,50,350,550,PA,Claudius,Gertrude,0,0,-30,0,0.5
5,Barnardo describes Ghost to Horatio and Marcellus,Barnardo describes ,Ghost,136,800,50,PA,Barnardo,Marcellus,Horatio,0,-30,0,0.5
6,Ghost of Elder Hamlet appears,Ghost appears,,146,725,575,PA,Ghost,Horatio,Marcellus,0,-30,0,0.5
7,Ghost of Elder Hamlet reappears,Ghost reappears,,237,750,630,PA,Ghost,Horatio,Marcellus,0,-30,0,0.5
8,Cock crows Ghost disappears,Cock Crows,,250,650,495,PA,Ghost,0,0,0,-30,0,0.5
9,Horatio decides to tell Hamlet,Horatio decides ,to tell Hamlet,285,910,225,PA,Horatio,0,0,0,-30,0,0.5
10,Claudius sends V& C to Norway ,V & C sent ,to Norway,324,50,600,PA,Claudius,Voltmand,Cornelius,0,-30,0,0.5
11,Claudius gives Laertes permission to return to France,Claudius gives L ,permission to go,341,425,625,PA,Claudius,Laertes,0,0,-30,0,0.5
12,Claudius refuses Hamlet permission to return to University at Wittenberg,Claudius does not,allow Hamlet to leave,405,550,710,PA,Claudius,Hamlet,Gertrude,0,-30,0,0.5
13,Horatio tell Hamlet about the Ghost,Horatio tell Hamlet ,about Ghost,487,900,505,PA,Hamlet,Horatio,0,0,-30,0,0.5
14,Hamlet decides to stand watch,Hamlet decides, to stand watch,552,850,600,PA,Hamlet,0,0,0,-30,0,0.5
15,Laertes and Polonius warn Ophelia against Hamlet,Polonius Laertes warn,Ophelia about Hamlet,576,500,210,PA,Ophelia,Laertes,Polonius,0,-30,0,0.5
16,Ophelis agrees to avoid Hamlet,Ophelia agrees, to avoid Hamlet,715,600,400,PA,Ophelia,Polonius,0,0,-30,0,0.5
17,Ghost reappears  beckons Hamlet,Ghost beckons, Hamlet,777,850,800,PA,Ghost,Hamlet,0,0,-30,0,0.5
18,Hamlet leaves with Ghost,Hamlet leaves ,with Ghost,811,920,950,PA,Ghost,Hamlet,0,0,-30,0,0.5
19,Horatio and Marcelles follow,Horation and ,Marcellus follow,815,850,275,PA,Horatio,Marcellus,0,0,-30,0,0.5
20,Ghost tells Hamlet what really happened,Ghost tells Hamlet,He was killed by King,820,780,850,PA,Ghost,Hamlet,0,0,-30,0,0.5
21,Hamlet swears revenge,Hamlet swears ,revenge,909,875,750,PA,Hamlet,Hamlet,0,0,-30,0,0.5
22,Hamlet swears Horation and Marcellus to secrecy ,Hamlet swears Hor,Marcellus to secrecy,952,810,720,PA,Hamlet,Horatio,Marcellus,0,-30,0,0.5
23,Polonius sends Reynaldo to Paris to give $ and note to Laertes; ,Pol sends Reynardo,to Paris,1130,450,150,PA,Polonius,Horatio,0,0,-30,0,0.5
24,Ophelia describes Hamlet's behavior to Polonius.,Oph tells Pol ,of Hamlet's behaviour,1213,550,300,PA,Ophelia,Polonius,0,0,-30,0,0.5
25,Pol tells Oph to come with to tell king.,Pol Oph decide,to tell King,1242,300,100,PA,Polonius,Ophelia,0,0,-30,0,0.5
26, Hamlet writes to Ophelia ,Ham writes Oph,,1109,725,610,PA,Hamlet,Ophelia,0,0,-30,0,0.5
27,Hamlet comes to visit her grabs arm  nods looks back,Ham visits Oph,,1120,650,500,PA,Hamlet,Ophelia,0,0,-30,0,0.5
28,K & Q ask R &G to visit Ham; Q offers reward,K Q ask R G ,to vis Ham,1263,330,700,PA,Claudius,Gertrude,Rosencrantz,0,-30,0,0.5
